ID;Case ID;CHAMBER;YEAR;NAME;Area;Outcome;Econ_Ideology_Median;Econ_Ideology_Rapporteur;Legal_Expertise_Median;Legal_Expertise_Rapporteur;Europhilia_Median;Europhilia_rapporteur;Rapporteur_Name;Ease_Doing_Business;Legal_Practice;Gov_Left_Right;Gov_Europhilia;Legal_Tradition;Country
90;tj-99/04;3;2008; ac-treuhand ag v commission of the european communities;0;plaintiff;4.836412564;4.493177388;7.566256413;7.810526316;7.923769238;7.842105263;Azizi (AT);76.12;no;-10.65414013;0;civil_law;austria
19;tj-98/00;5;2002; linde ag v commission of the european communities;1;commission;4.155555556;3.181818182;7.666666667;8.672727273;6.727272727;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
652;tj-95/15;4;2016;Printeos, SA et al v Commission;0;commission;5.5;4.444444444;5.9;5.9;7.2;5.833333333;Kreuschitz (AT);76.12;no;8.890333333;4.871555556;civil_law;austria
115;tj-95/03;2;2006; asociación de empresarios de estaciones de servicio de la comunidad autónoma de madrid and federación catalana de estaciones de servicio v commission of the european communities;1;plaintiff;4.833333333;4.566239316;6.866666667;7.101098901;6.666666667;7.769230769;Meij (NL);73.8;no;9.96528866;2.532268041;civil_law;netherlands
373;tj-94/08;8;2010; centre de coordination carrefour snc v european commission;1;plaintiff;5.166666667;5.166666667;6.577941176;6.172527473;6.928571429;6.928571429;Papasavvas (CY);65.58;no;13.59957576;4.338151515;civil_law;cyprus
155;tj-93/02;2;2005; confédération nationale du crédit mutuel v commission of the european communities;1;commission;4.566239316;4.833333333;6.866666667;6.866666667;6.888888889;6.666666667;Pirrung  (DE);79.34;no;-23.34488856;5.073516129;civil_law;germany
378;tj-92/11;3;2013;Jørgen Andersen;1;commission;5.166666667;5.166666667;6.172527473;6.172527473;6.928571429;6.928571429;Papasavvas (CY);65.58;no;13.59957576;4.338151515;civil_law;cyprus
481;tj-92/02;4;2006; stadtwerke schwäbisch hall stadtwerke tübingen gmbh and stadtwerke uelzen gmbh v commission of the european communities;1;plaintiff;5.611111111;6.404761905;6.542857143;6.542857143;8;5.857142857;Legal  (FR);70.68;no;15.90978351;9.720350515;civil_law;france
647;tj-91/11;6;2014; innolux corp;0;commission;4.555555556;5.483333333;6.69999999;7.257692308;7.545454545;7.833333333;Berardis (IT);66.5;no;NA;NA;civil_law;italy
639;tj-91/10;8;2014;lucchini spa v european commission;0;plaintiff;5.483333333;4.881127451;6.577941176;6.577941176;7.823529412;7.823529412;Ribeiro (PT);73.3;no;-2.923764706;0.617294118;civil_law;portugal
324;tj-90/11;9;2014;ordre national des pharmaciens (onp) and others v european commission;0;commission;5.888888889;5.888888889;5.8;5.8;7.833333333;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
13;tj-9/98;5;2001; mitteldeutsche erdöl-raffinerie gmbh v commission of the european communities;1;commission;4.155555556;3.181818182;7.666666667;8.672727273;6.888888889;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
101;tj-9/96, 211;1;1999; européenne automobile sarl v commission of the european communities;0;plaintiff;4.833333333;4.833333333;6.866666667;6.866666667;6.888888889;6.666666667;Pirrung  (DE);79.34;no;-23.34488856;5.073516129;civil_law;germany
646;tj-89/09;1;2015;pollmeier massivholz gmbh & co;1;commission;5.222222222;5.222222222;6.69999999;7.933333333;7.545454545;9.666666667;Buttigieg (MT);62.8;no;18.105;2.876;civil_law;malta
419;tj-88/09;4;2011; idromacchine alessandro capuzzo and roberto capuzzo v european commission;1;commission;5.272727273;5.333333333;5.854545455;4.244444444;6.454545455;5.555555556;Jürimäe (EE);78.06;no;-1.592066667;3.5989;socialist;estonia
239;tj-88/01;5;2005; sa v commission of the european communities;1;plaintiff;4.88112746;3.181818182;7.182512825;8.672727273;7.823529412;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
130;tj-87/05;2;2005; edp - energias de sa v commission of the european communities;0;plaintiff;4.833333333;3.318390805;6.866666667;7.859770115;6.666666667;6.2;Forwood (UK);83.76;yes;-8.072;3.012;common_law;UK
99;tj-86/96;5;1999; arbeitsgemeinschaft deutscher constituted by aero lloyd flugreisen gmbh & co;1;plaintiff;4.833333333;3.181818182;6.866666667;8.672727273;6.888888889;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
360;tj-85/06;6;2008; general repsol sa and repsol sa v commission of the european communities;0;plaintiff;6.333333333;6.444444444;4.7;4.533333333;7.333333333;7.333333333;Vadapalas (LT);74.22;no;6.411588235;0.614254902;socialist;lithuania
473;tj-83/08;7;2012; denki kagaku kogyo kabushiki kaisha and denka chemicals gmbh v european commission;0;plaintiff;5.611111111;5.611111111;6.2;5.466666667;8.25;8.666666667;Wiszniewska-Balecka (PL);69.56;no;4.31;2.586;socialist;poland
361;tj-82/13;3;2015;panasonic corp;0;commission;5.166666667;5.166666667;6.172527473;6.172527473;6.2;6.928571429;Papasavvas (CY);65.58;no;13.59957576;4.338151515;civil_law;cyprus
595;tj-82/08;6;2012; guardian industries corp;0;plaintiff;4.424242424;5;6.828571429;6.828571429;7.545454545;7.857142857;Soldevila Fragoso (ES);69.22;no;12.391;2.46;civil_law;spain
383;tj-81/07, 82/07, 83/07;8;2009; jan rudolf maas and others v commission of the european communities;1;commission;5.166666667;5.778787879;7.386363636;7.386363636;6.928571429;6.363636364;Dittrich (DE);79.34;no;-11.85245089;0.954897321;civil_law;germany
75;tj-80/06, 182/09;6;2012; budapesti eromu zrt v european commission;1;plaintiff;4.836412564;3.021604938;7.566256413;8.205962556;7.857142857;7.428571429;Wahl (SW);82.1;no;24.173;1.018;civil_law;sweden
49;tj-80/02;1;2002; tetra laval bv v commission of the european communities;0;commission;3.521984551;3.521984551;7.859771149;8.187878788;6.666666667;7.764705882;Vesterdorf (DK);83.96;no;-29.17268657;3.626268657;civil_law;denmark
513;tj-8/06;7;2009;fab fernsehen aus berlin gmbh v commission of the european communities;1;plaintiff;4.787878788;4.787878788;6.668181818;6.668181818;6.2;8.454545455;Moavero Milanesi (IT);66.5;yes;-18.68;0.483;civil_law;italy
641;tj-79/14;1;2016;secop gmbh v european commission;1;plaintiff;5.222222222;5.272727273;6.69999999;5.854545455;7.545454545;6.454545455;Pelikánová (CZ);70.12;no;4.509831683;4.285861386;socialist;czech republic
649;tj-79/12;3;2013;cisco inc;0;plaintiff;4.555555556;3.472222222;6.583333333;8.613333333;6.928571429;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
412;tj-79/06;4;2011; sachsa verpackung gmbh v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
426;tj-78/06;4;2011; armando sa v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
488;tj-77/08;7;2012; the dow chemical company v european commission;0;plaintiff;5.611111111;5.611111111;6.2;5.466666667;8.25;8.666666667;Wiszniewska-Balecka (PL);69.56;no;4.31;2.586;socialist;poland
50;tj-77/02;1;2002; schneider electric sa v commission of the european communities;0;commission;3.521984551;6.404761905;7.859771149;6.542857143;6.2;5.857142857;Legal  (FR);70.68;no;15.90978351;9.720350515;civil_law;france
635;tj-76/14;8;2016;Morningstar, Inc. v european commission;0;plaintiff;5.166666667;4.555555556;6.583333333;6.583333333;7.75;5.666666667;Wetter (SW);82.1;no;0.964115607;1.941352601;civil_law;sweden
494;tj-76/08;7;2012; ei du pont de nemours and dupont performance elastomers llc and dupont performance elastomers sa v european commission;0;plaintiff;5.611111111;5.611111111;6.2;5.466666667;8.25;8.666666667;Wiszniewska-Balecka (PL);69.56;no;4.31;2.586;socialist;poland
447;tj-76/06;4;2011; plasticos sa (aspla) v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
109;tj-76/02;4;2003;mara messina v commission of the european communities;1;plaintiff;4.833333333;5.185185185;6.866666667;6.711111111;7.142857143;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
178;tj-75/03;5;2009; banco comercial dos sa v commission of the european communities;1;plaintiff;5.185185185;6.166666667;6.2;3.8;8.25;9.5;Ciuca (RO);66.88;no;-4.406567164;3.064328358;socialist;romania
276;tj-74/11;2;2013;Omnis Group Srl v Commission;0;plaintiff;5.848484848;5.848484848;5.871794872;5.871794872;6.538461538;6.538461538;Dehousse (BE);70;no;16.97852577;2.363010309;civil_law;belgium
14;tj-73/98;5;2001; société chimique prayon-rupel sa v commission of the european communities;1;commission;4.155555556;4.909090909;7.666666667;6.072727273;6.888888889;6.727272727;Lindh (SW);82.1;no;23.786;3.398;civil_law;sweden
175;tj-73/04;5;2008; le carbone-lorraine v commission of the european communities;0;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
442;tj-72/06;4;2011; groupe gascogne sa v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
143;tj-71/03, 74, 87, 91;2;2005; tokai carbon co;0;commission;4.566239316;4.833333333;7.119891989;6.866666667;6.666666667;6.666666667;Pirrung  (DE);79.34;no;-23.34488856;5.073516129;civil_law;germany
214;tj-70/07;8;2008; cantieri navali termoli spa v commission of the european communities;1;plaintiff;4.88112746;5.778787879;7.386363636;7.386363636;7.428571429;6.363636364;Dittrich (DE);79.34;no;-11.85245089;0.954897321;civil_law;germany
163;tj-69/04;5;2008; schunk gmbh and schunk kohlenstoff-technik gmbh v commission of the european communities;0;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
273;tj-68/09;2;2014;soliver nv v european commission;0;commission;5.848484848;3.318390805;5.871794872;7.859770115;6.538461538;6.2;Forwood (UK);83.76;yes;-8.072;3.012;common_law;UK
402;tj-68/06;4;2011; stempher bv and koninklijke verpakkingsindustrie stempher cv v european commission;0;commission;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
504;tj-68/05;1;2009; aker warnow werft gmbh and kvaerner asa v commission of the european communities;1;commission;5.611111111;4.428571429;5.871794872;6.571428571;7.142857143;7.142857143;Tiili (FI);81.28;no;1.831150943;4.51504717;civil_law;finland
172;tj-68/04;5;2008; sgl carbon ag v commission of the european communities;0;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
133;tj-68/03;2;2007; olympiaki aeroporia ypiresies ae v commission of the european communities;1;commission;4.833333333;4.566239316;6.866666667;7.101098901;6.666666667;7.769230769;Meij (NL);73.8;no;9.96528866;2.532268041;civil_law;netherlands
650;tj-674/11;8;2015;tv2/danmark a/s v european commission;1;commission;4.555555556;5.222222222;7.859771149;8.066666667;6.2;8.333333333;Gratsias (EL);61.46;no;20.727;0.696;civil_law;greece
548;tj-671/14;5;2017;bayerische motoren werke ag v european commission;1;plaintiff;5.778787879;5.866666667;7.3;4.68;7.2;7.2;Schwarcz (SK);70.72;no;-1.785411765;2.532882353;socialist;slovakia
644;tj-67/11;1;2015;martinair holland nv v european commission;0;commission;5.222222222;4.424242424;6.69999999;6.690909091;7.545454545;7.545454545;Kanninen (FI);81.28;no;18.789624;2.255232;civil_law;finland
58;tj-67/01;1;2004; jcb service v commission of the european communities;0;commission;4.493177388;6.404761905;7.815263158;6.542857143;7.764758824;5.857142857;Legal  (FR);70.68;no;15.90978351;9.720350515;civil_law;france
154;tj-67/00, 68, 71, 78;2;2004; jfe engineering formerly nkk corp;0;commission;4.566239316;3.318390805;7.119891989;7.859770115;6.666666667;6.2;Forwood (UK);83.76;yes;-8.072;3.012;common_law;UK
38;tj-66/99;5;2003; minoan lines sa v commission of the european communities;0;plaintiff;4.155555556;4.155555556;7.666666667;7.006666667;7.466666667;7.466666667;García-Valdecasas y Fernández (ES);69.22;yes;11.648;5.064;civil_law;spain
539;tj-66/01;6;2010; imperial chemical industries ltd v european commission;0;commission;5.778787879;6.444444444;7.119891989;4.533333333;7.333333333;7.333333333;Vadapalas (LT);74.22;no;6.411588235;0.614254902;socialist;lithuania
240;tj-655/11;2;2015;fsl holdings and others v european commission;0;commission;4.88112746;4.881127451;7.3;6.577941176;6.5;7.823529412;Ribeiro (PT);73.3;no;-2.923764706;0.617294118;civil_law;portugal
33;tj-65/99;5;2003; strintzis lines shipping sa v commission of the european communities;0;plaintiff;4.155555556;4.155555556;7.666666667;7.006666667;7.466666667;7.466666667;García-Valdecasas y Fernández (ES);69.22;yes;11.648;5.064;civil_law;spain
1;tj-65/98;5;2003;van den bergh foods ltd v commission of the european communities;0;plaintiff;4.155555556;3.181818182;7.666666667;8.672727273;7.466666667;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
406;tj-65/06;4;2012; flsmidth & co;0;commission;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
187;tj-64/08;5;2010; nuova terni industrie chimiche spa v european commission;1;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
403;tj-64/06;4;2012; fls plast a/s v european commission;0;commission;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
29;tj-64/02;5;2005;Dr Hans Heubach GmbH & Co. KG v Commission;0;plaintiff;4.155555556;3.181818182;7.666666667;8.672727273;7.466666667;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
171;tj-63/08;5;2010; cementir italia srl v european commission;1;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
311;tj-620/11;9;2016;gfkl financial services ag v european commission;1;plaintiff;5.888888889;6.101851852;5.8;4.077777778;7.833333333;6.777777778;Kancheva (BG);69.76;no;-0.43;1.182;socialist;bulgaria
176;tj-62/08;5;2010; thyssenkrupp acciai speciali terni spa v european commission;1;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
32;tj-62/02;5;2005; union pigments as v commission of the european communities;0;plaintiff;4.155555556;3.181818182;7.666666667;8.672727273;7.466666667;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
